,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
199,145,Dante Exum,SG,24,CLE,24,402,11.5,.592,.385,.427,2.5,12.8,7.6,11.4,1.5,1.3,15.6,14.3,,0.4,0.2,0.5,.063,,-2.0,-0.5,-2.5,0.0
200,146,Tacko Fall,C,24,BOS,6,24,23.9,.713,.000,.250,0.0,48.7,24.6,0.0,0.0,7.7,18.4,29.0,,0.0,0.1,0.1,.102,,-1.9,3.0,1.1,0.0
201,147,Derrick Favors,C,28,NOP,45,1089,19.0,.624,.023,.203,14.1,29.0,21.5,9.8,1.1,3.4,13.3,14.4,,2.4,1.4,3.8,.168,,0.9,0.2,1.1,0.9
202,148,Cristiano Felício,PF,27,CHI,22,386,12.8,.671,.037,.426,15.0,14.1,14.6,5.7,1.2,0.5,21.9,9.1,,0.7,0.3,1.0,.126,,-1.5,-1.6,-3.1,-0.1
203,149,Terrance Ferguson,SF,21,OKC,50,1170,4.1,.504,.779,.095,2.3,4.6,3.5,5.0,1.1,1.2,12.6,9.0,,-0.1,0.8,0.6,.027,,-4.4,0.3,-4.2,-0.7
204,150,Bruno Fernando,C,21,ATL,55,697,12.1,.546,.189,.255,10.1,20.3,15.1,10.0,1.2,2.0,16.2,15.5,,0.4,0.4,0.8,.057,,-3.1,-1.0,-4.1,-0.4
205,151,Yogi Ferrell,PG,26,SAC,44,484,10.7,.499,.408,.219,1.4,10.0,5.6,17.6,1.4,0.8,11.9,18.9,,0.1,0.3,0.4,.036,,-2.1,-0.4,-2.5,-0.1
206,152,Dorian Finney-Smith,PF,26,DAL,63,1860,12.2,.594,.579,.217,7.1,12.3,9.8,7.0,1.1,1.7,11.1,12.7,,2.8,1.6,4.4,.114,,0.1,-0.2,-0.1,0.9
207,153,Bryn Forbes,SG,26,SAS,62,1559,11.3,.570,.654,.155,0.8,7.7,4.2,9.7,1.0,0.0,8.4,18.7,,1.3,0.2,1.5,.045,,-0.6,-2.1,-2.7,-0.3
208,154,Evan Fournier,SG,27,ORL,61,1931,16.7,.599,.467,.236,0.9,8.0,4.4,16.6,1.8,0.7,11.1,24.2,,2.8,1.7,4.4,.110,,1.5,-0.3,1.2,1.6
209,155,De'Aaron Fox,PG,22,SAC,45,1426,20.4,.556,.221,.442,2.3,12.3,7.2,35.4,2.2,1.5,14.6,29.6,,2.1,1.3,3.5,.117,,2.0,-0.4,1.7,1.3
210,156,Melvin Frazier,SG,23,ORL,15,51,7.5,.480,.412,.235,2.0,6.5,4.2,2.8,3.8,3.5,13.8,18.5,,-0.1,0.1,0.0,.003,,-6.1,1.6,-4.5,0.0
211,157,Michael Frazier,SG,25,HOU,8,66,2.4,.513,.727,.545,1.6,3.2,2.4,1.9,1.4,0.0,12.8,9.8,,0.0,0.0,0.0,.016,,-7.8,-0.9,-8.7,-0.1
212,158,Tim Frazier,PG,29,DET,27,355,9.8,.464,.319,.255,2.8,7.8,5.3,36.5,1.9,0.9,25.6,17.3,,-0.1,0.2,0.1,.017,,-2.9,-1.6,-4.6,-0.2
213,159,Markelle Fultz,PG,21,ORL,63,1781,14.4,.526,.176,.211,1.9,11.0,6.3,28.8,2.2,0.5,15.3,20.7,,0.8,1.9,2.6,.071,,-2.0,0.2,-1.7,0.1
214,160,Wenyen Gabriel,PF,22,TOT,27,209,9.7,.547,.435,.435,9.1,14.1,11.6,5.0,2.3,2.5,22.6,14.5,,0.0,0.2,0.2,.043,,-3.9,0.1,-3.8,-0.1
