,matchup,home,result,winner high,loser high,DATE
1,LA LAC,Dallas DAL,"LAC 117, DAL 100",Jeff McInnis 31 Pts,Dirk Nowitzki 22 Pts,20020129
2,Miami MIA,Denver DEN,"MIA 100, DEN 94",Eddie Jones 37 Pts,Raef LaFrentz 30 Pts,20020129
3,Boston BOS,Milwaukee MIL,"MIL 109, BOS 90",Sam Cassell 20 Pts,Antoine Walker 25 Pts,20020129
4,Chicago CHI,Phoenix PHX,"PHX 91, CHI 90",Shawn Marion 24 Pts,Metta World Peace 25 Pts,20020129
5,Portland POR,Seattle SEA,"POR 92, SEA 86",Dale Davis 20 Pts,Gary Payton 27 Pts,20020129
6,Detroit DET,Washington WSH,"DET 89, WSH 86",Jerry Stackhouse 24 Pts,Michael Jordan 32 Pts,20020129
7,Los Angeles LAL,Atlanta ATL,"LAL 127, ATL 93",Kobe Bryant 32 Pts,Shareef Abdur-Rahim 21 Pts,20020129
8,Golden State GS,Houston HOU,"HOU 100, GS 96",Steve Francis 33 Pts,Larry Hughes 17 Pts,20020129
9,Philadelphia PHI,New York NY,"NY 78, PHI 71",Charlie Ward 14 Pts,Matt Harpring 17 Pts,20020129
10,Charlotte CHA,San Antonio SA,"CHA 78, SA 73",Bryce Drew 15 Pts,Tim Duncan 29 Pts,20020129
0,Memphis MEM,Indiana IND,"IND 83, MEM 82",Jalen Rose 25 Pts,Shane Battier 27 Pts,20020130
1,Minnesota MIN,Philadelphia PHI,"PHI 96, MIN 91",Allen Iverson 38 Pts,Wally Szczerbiak 31 Pts,20020130
2,Chicago CHI,Utah UTAH,"UTAH 90, CHI 78",Karl Malone 18 Pts,Eddie Robinson 18 Pts,20020130
3,Atlanta ATL,Detroit DET,"DET 88, ATL 71",Jerry Stackhouse 32 Pts,Jason Terry 19 Pts,20020130
4,Los Angeles LAL,Orlando ORL,"LAL 111, ORL 93",Shaquille O'Neal 30 Pts,Tracy McGrady 22 Pts,20020130
0,Washington WSH,Cleveland CLE,"WSH 93, CLE 92",Michael Jordan 26 Pts,Wesley Person 21 Pts,20020131
1,Phoenix PHX,Portland POR,"POR 105, PHX 97",Rasheed Wallace 20 Pts,Shawn Marion 23 Pts,20020131
2,Sacramento SAC,Seattle SEA,"SAC 99, SEA 95",Peja Stojakovic 32 Pts,Gary Payton 25 Pts,20020131
3,Milwaukee MIL,New Jersey NJ,"NJ 125, MIL 100",Jason Kidd 21 Pts,Glenn Robinson 23 Pts,20020131
4,LA LAC,San Antonio SA,"LAC 91, SA 87",Michael Olowokandi 20 Pts,Tim Duncan 23 Pts,20020131
5,Houston HOU,Dallas DAL,"DAL 95, HOU 91",Steve Nash 33 Pts,Steve Francis 30 Pts,20020131
6,Boston BOS,Toronto TOR,"TOR 97, BOS 92",Vince Carter 27 Pts,Antoine Walker 25 Pts,20020131
0,New York NY,Indiana IND,"IND 92, NY 87",Reggie Miller 20 Pts,Allan Houston 27 Pts,20020201
1,Golden State GS,Phoenix PHX,"PHX 104, GS 98",Stephon Marbury 20 Pts,Antawn Jamison 26 Pts,20020201
2,Denver DEN,Sacramento SAC,"SAC 132, DEN 96",Chris Webber 29 Pts,Raef LaFrentz 16 Pts,20020201
3,Atlanta ATL,Washington WSH,"WSH 97, ATL 90",Michael Jordan 28 Pts,Shareef Abdur-Rahim 25 Pts,20020201
