,matchup,home,result,winner high,loser high,DATE
1,Chicago CHI,Milwaukee MIL,"MIL 116, CHI 82",Giannis Antetokounmpo 19 Pts,Bobby Portis 17 Pts,20181003
2,Detroit DET,Oklahoma City OKC,"DET 97, OKC 91",Andre Drummond 31 Pts,Dennis Schroder 21 Pts,20181003
3,Newzealand NZL,Phoenix PHX,"PHX 91, NZL 86",Deandre Ayton 21 Pts,Corey Webster 27 Pts,20181003
4,Minnesota MIN,LA LAC,"LAC 128, MIN 101",Tobias Harris 23 Pts,Karl-Anthony Towns 18 Pts,20181003
0,Indiana IND,Houston HOU,"IND 110, HOU 100",Victor Oladipo 24 Pts,James Harden 17 Pts,20181004
1,Sacramento SAC,Los Angeles LAL,"LAL 128, SAC 123",Brandon Ingram 31 Pts,Marvin Bagley III 19 Pts,20181004
0,Dallas DAL,Philadelphia PHI,"PHI 120, DAL 114",JJ Redick 28 Pts,Dennis Smith Jr. 20 Pts,20181005
1,Flamengo FLMG,Orlando ORL,"ORL 119, FLMG 82",Aaron Gordon 29 Pts,Marcus Vinicius Souza 19 Pts,20181005
2,Melbourne MEL,Toronto TOR,"TOR 120, MEL 82",Norman Powell 21 Pts,Casper Ware 17 Pts,20181005
3,Miami MIA,Washington WSH,"WSH 121, MIA 114",Bradley Beal 20 Pts,Yante Maten 17 Pts,20181005
4,New Orleans NO,New York NY,"NY 106, NO 100",Tim Hardaway Jr. 21 Pts,Nikola Mirotic 19 Pts,20181005
5,Atlanta ATL,Memphis MEM,"MEM 120, ATL 110",Marc Gasol 21 Pts,Tyler Dorsey 18 Pts,20181005
6,Oklahoma City OKC,Minnesota MIN,"OKC 113, MIN 101",Paul George 23 Pts,Karl-Anthony Towns 23 Pts,20181005
7,Detroit DET,San Antonio SA,"SA 117, DET 93",Dejounte Murray 16 Pts,Andre Drummond 18 Pts,20181005
8,Perth PERTH,Denver DEN,"DEN 96, PERTH 88",Monte Morris 15 Pts,Bryce Cotton 33 Pts,20181005
9,Adelaide ADE,Utah UTAH,"UTAH 129, ADE 99",Donovan Mitchell 18 Pts,Nathan Sobey 23 Pts,20181005
10,Portland POR,Phoenix PHX,"POR 115, PHX 93",Jusuf Nurkic 16 Pts,Deandre Ayton 19 Pts,20181005
11,Sacramento SAC,Golden State GS,"GS 122, SAC 94",Klay Thompson 30 Pts,Harry Giles III 17 Pts,20181005
0,Boston BOS,Cleveland CLE,"CLE 113, BOS 102",Ante Zizic 20 Pts,Marcus Morris Sr. 17 Pts,20181006
1,Indiana IND,Memphis MEM,"MEM 109, IND 104 (OT)",Jaren Jackson Jr. 18 Pts,Aaron Holiday 20 Pts,20181006
2,LA LAC,Los Angeles LAL,"LAC 103, LAL 87",Lou Williams 19 Pts,Kyle Kuzma 15 Pts,20181006
0,Atlanta ATL,Oklahoma City OKC,"OKC 113, ATL 94",Paul George 22 Pts,Alex Len 18 Pts,20181007
1,Houston HOU,San Antonio SA,"HOU 108, SA 93",James Harden 21 Pts,DeMar DeRozan 22 Pts,20181007
2,Milwaukee MIL,Minnesota MIN,"MIL 125, MIN 107",Giannis Antetokounmpo 21 Pts,Karl-Anthony Towns 33 Pts,20181007
3,Utah UTAH,Portland POR,"UTAH 123, POR 112",Donovan Mitchell 21 Pts,Damian Lillard 23 Pts,20181007
0,Dallas DAL,Philadelphia PHI,"DAL 115, PHI 112",Luka Doncic 15 Pts,Joel Embiid 29 Pts,20181008
1,Chicago CHI,Charlotte CHA,"CHA 110, CHI 104",Kemba Walker 20 Pts,Zach LaVine 26 Pts,20181008
2,Indiana IND,Cleveland CLE,"IND 111, CLE 102",Victor Oladipo 23 Pts,Kyle Korver 17 Pts,20181008
3,Brooklyn BKN,Detroit DET,"BKN 110, DET 108 (OT)",D'Angelo Russell 25 Pts,Langston Galloway 24 Pts,20181008
4,Orlando ORL,Miami MIA,"MIA 90, ORL 89",Rodney McGruder 19 Pts,Nikola Vucevic 22 Pts,20181008
5,Washington WSH,New York NY,"WSH 110, NY 98",Bradley Beal 20 Pts,Tim Hardaway Jr. 18 Pts,20181008
6,Haifa MCH,Sacramento SAC,"SAC 132, MCH 100",Buddy Hield 22 Pts,Josh Childress 18 Pts,20181008
7,Phoenix PHX,Golden State GS,"PHX 117, GS 109",Deandre Ayton 18 Pts,Stephen Curry 23 Pts,20181008
0,Shanghai SHA,Houston HOU,"HOU 128, SHA 86",James Harden 37 Pts,Jimmer Fredette 41 Pts,20181009
1,Milwaukee MIL,Oklahoma City OKC,"OKC 119, MIL 115 (OT)",Paul George 26 Pts,Christian Wood 19 Pts,20181009
2,Denver DEN,LA LAC,"LAC 109, DEN 103",Danilo Gallinari 16 Pts,Trey Lyles 15 Pts,20181009
0,Washington WSH,Detroit DET,"WSH 102, DET 97",John Wall 32 Pts,Andre Drummond 17 Pts,20181010
1,Memphis MEM,Orlando ORL,"ORL 102, MEM 86",Jonathan Isaac 15 Pts,Mike Conley 24 Pts,20181010
2,Brooklyn BKN,Toronto TOR,"TOR 118, BKN 91",Danny Green 22 Pts,Jarrett Allen 24 Pts,20181010
3,San Antonio SA,Atlanta ATL,"ATL 130, SA 127",Taurean Prince 25 Pts,Rudy Gay 28 Pts,20181010
4,New Orleans NO,Miami MIA,"MIA 140, NO 128",Bam Adebayo 26 Pts,Julius Randle 23 Pts,20181010
5,Indiana IND,Chicago CHI,"CHI 104, IND 89",Zach LaVine 22 Pts,Thaddeus Young 16 Pts,20181010
6,Phoenix PHX,Portland POR,"POR 116, PHX 83",Jake Layman 28 Pts,Josh Jackson 13 Pts,20181010
7,Golden State GS,Los Angeles LAL,"LAL 123, GS 113",Brandon Ingram 26 Pts,Stephen Curry 23 Pts,20181010
0,Toronto TOR,New Orleans NO,"TOR 134, NO 119",Pascal Siakam 21 Pts,Anthony Davis 36 Pts,20181011
1,Utah UTAH,Sacramento SAC,"UTAH 132, SAC 93",Rudy Gobert 18 Pts,Marvin Bagley III 17 Pts,20181011
2,Haifa MCH,LA LAC,"LAC 124, MCH 76",Boban Marjanovic 18 Pts,Roman Sorkin 12 Pts,20181011
0,San Antonio SA,Orlando ORL,"SA 100, ORL 81",DeMar DeRozan 20 Pts,Evan Fournier 23 Pts,20181012
1,Guangzhou GUA,Washington WSH,"WSH 140, GUA 111",Devin Robinson 23 Pts,Marreese Speights 41 Pts,20181012
2,Charlotte CHA,Dallas DAL,"CHA 123, DAL 118",Devonte' Graham 15 Pts,DeAndre Jordan 18 Pts,20181012
3,Detroit DET,Cleveland CLE,"DET 129, CLE 110",Blake Griffin 29 Pts,Rodney Hood 21 Pts,20181012
4,Brooklyn BKN,New York NY,"BKN 113, NY 107",Spencer Dinwiddie 19 Pts,Tim Hardaway Jr. 18 Pts,20181012
5,Atlanta ATL,Miami MIA,"MIA 119, ATL 113",Josh Richardson 24 Pts,Jeremy Lin 20 Pts,20181012
6,Denver DEN,Chicago CHI,"DEN 98, CHI 93",Gary Harris 18 Pts,Jabari Parker 19 Pts,20181012
7,Houston HOU,Memphis MEM,"HOU 121, MEM 103",James Harden 23 Pts,Jaren Jackson Jr. 18 Pts,20181012
8,Minnesota MIN,Milwaukee MIL,"MIL 143, MIN 121",Giannis Antetokounmpo 32 Pts,Taj Gibson 21 Pts,20181012
9,Sacramento SAC,Portland POR,"POR 118, SAC 115",CJ McCollum 21 Pts,Buddy Hield 19 Pts,20181012
10,Los Angeles LAL,Golden State GS,"LAL 119, GS 105",Sviatoslav Mykhailiuk 22 Pts,Klay Thompson 21 Pts,20181012
0,Philadelphia PHI,Boston BOS,"BOS 105, PHI 87",Jayson Tatum 23 Pts,Joel Embiid 23 Pts,20181016
1,Oklahoma City OKC,Golden State GS,"GS 108, OKC 100",Stephen Curry 32 Pts,Paul George 27 Pts,20181016
0,Milwaukee MIL,Charlotte CHA,"MIL 113, CHA 112",Giannis Antetokounmpo 25 Pts,Kemba Walker 41 Pts,20181017
1,Brooklyn BKN,Detroit DET,"DET 103, BKN 100",Blake Griffin 26 Pts,Caris LeVert 27 Pts,20181017
2,Memphis MEM,Indiana IND,"IND 111, MEM 83",Bojan Bogdanovic 19 Pts,Marc Gasol 13 Pts,20181017
3,Miami MIA,Orlando ORL,"ORL 104, MIA 101",Aaron Gordon 26 Pts,Goran Dragic 26 Pts,20181017
4,Atlanta ATL,New York NY,"NY 126, ATL 107",Tim Hardaway Jr. 31 Pts,Taurean Prince 21 Pts,20181017
5,Cleveland CLE,Toronto TOR,"TOR 116, CLE 104",Kyle Lowry 27 Pts,Kevin Love 21 Pts,20181017
6,New Orleans NO,Houston HOU,"NO 131, HOU 112",Anthony Davis 32 Pts,Eric Gordon 21 Pts,20181017
7,Minnesota MIN,San Antonio SA,"SA 112, MIN 108",DeMar DeRozan 28 Pts,Jeff Teague 27 Pts,20181017
8,Utah UTAH,Sacramento SAC,"UTAH 123, SAC 117",Donovan Mitchell 24 Pts,Willie Cauley-Stein 23 Pts,20181017
9,Dallas DAL,Phoenix PHX,"PHX 121, DAL 100",Devin Booker 35 Pts,Dwight Powell 16 Pts,20181017
10,Denver DEN,LA LAC,"DEN 107, LAC 98",Nikola Jokic 21 Pts,Tobias Harris 19 Pts,20181017
0,Chicago CHI,Philadelphia PHI,"PHI 127, CHI 108",Joel Embiid 30 Pts,Zach LaVine 30 Pts,20181018
1,Miami MIA,Washington WSH,"MIA 113, WSH 112",Josh Richardson 28 Pts,John Wall 26 Pts,20181018
2,Los Angeles LAL,Portland POR,"POR 128, LAL 119",Damian Lillard 28 Pts,LeBron James 26 Pts,20181018
0,Charlotte CHA,Orlando ORL,"CHA 120, ORL 88",Kemba Walker 26 Pts,Terrence Ross 14 Pts,20181019
1,New York NY,Brooklyn BKN,"BKN 107, NY 105",Caris LeVert 28 Pts,Enes Kanter 29 Pts,20181019
2,Boston BOS,Toronto TOR,"TOR 113, BOS 101",Kawhi Leonard 31 Pts,Kyrie Irving 21 Pts,20181019
3,Atlanta ATL,Memphis MEM,"MEM 131, ATL 117",Garrett Temple 30 Pts,Taurean Prince 28 Pts,20181019
4,Cleveland CLE,Minnesota MIN,"MIN 131, CLE 123",Jimmy Butler 33 Pts,Kevin Love 25 Pts,20181019
5,Sacramento SAC,New Orleans NO,"NO 149, SAC 129",Nikola Mirotic 36 Pts,Willie Cauley-Stein 20 Pts,20181019
6,Indiana IND,Milwaukee MIL,"MIL 118, IND 101",Giannis Antetokounmpo 26 Pts,Victor Oladipo 25 Pts,20181019
7,Golden State GS,Utah UTAH,"GS 124, UTAH 123",Kevin Durant 38 Pts,Joe Ingles 27 Pts,20181019
8,Oklahoma City OKC,LA LAC,"LAC 108, OKC 92",Tobias Harris 26 Pts,Paul George 20 Pts,20181019
0,Toronto TOR,Washington WSH,"TOR 117, WSH 113",Kyle Lowry 28 Pts,Bradley Beal 32 Pts,20181020
1,Brooklyn BKN,Indiana IND,"IND 132, BKN 112",Victor Oladipo 25 Pts,Caris LeVert 19 Pts,20181020
2,Boston BOS,New York NY,"BOS 103, NY 101",Jayson Tatum 24 Pts,Tim Hardaway Jr. 24 Pts,20181020
3,Orlando ORL,Philadelphia PHI,"PHI 116, ORL 115",Joel Embiid 32 Pts,Evan Fournier 31 Pts,20181020
4,Charlotte CHA,Miami MIA,"CHA 113, MIA 112",Kemba Walker 39 Pts,Dwyane Wade 21 Pts,20181020
5,Detroit DET,Chicago CHI,"DET 118, CHI 116",Blake Griffin 33 Pts,Zach LaVine 33 Pts,20181020
6,Minnesota MIN,Dallas DAL,"DAL 140, MIN 136",Luka Doncic 26 Pts,Karl-Anthony Towns 31 Pts,20181020
7,Phoenix PHX,Denver DEN,"DEN 119, PHX 91",Nikola Jokic 35 Pts,Devin Booker 25 Pts,20181020
8,San Antonio SA,Portland POR,"POR 121, SA 108",Damian Lillard 29 Pts,DeMar DeRozan 28 Pts,20181020
9,Houston HOU,Los Angeles LAL,"HOU 124, LAL 115",James Harden 36 Pts,LeBron James 24 Pts,20181020
0,Atlanta ATL,Cleveland CLE,"ATL 133, CLE 111",Trae Young 35 Pts,Jordan Clarkson 19 Pts,20181021
1,Sacramento SAC,Oklahoma City OKC,"SAC 131, OKC 120",Iman Shumpert 26 Pts,Russell Westbrook 32 Pts,20181021
2,Golden State GS,Denver DEN,"DEN 100, GS 98",Gary Harris 28 Pts,Stephen Curry 30 Pts,20181021
3,Houston HOU,LA LAC,"LAC 115, HOU 112",Tobias Harris 23 Pts,James Harden 31 Pts,20181021
0,Orlando ORL,Boston BOS,"ORL 93, BOS 90",Nikola Vucevic 24 Pts,Kyrie Irving 22 Pts,20181022
1,Charlotte CHA,Toronto TOR,"TOR 127, CHA 106",Kawhi Leonard 22 Pts,Kemba Walker 26 Pts,20181022
2,New York NY,Milwaukee MIL,"MIL 124, NY 113",Giannis Antetokounmpo 31 Pts,Tim Hardaway Jr. 24 Pts,20181022
3,Indiana IND,Minnesota MIN,"MIN 101, IND 91",Jimmy Butler 20 Pts,Victor Oladipo 20 Pts,20181022
4,Chicago CHI,Dallas DAL,"DAL 115, CHI 109",Wesley Matthews 20 Pts,Zach LaVine 34 Pts,20181022
5,Memphis MEM,Utah UTAH,"MEM 92, UTAH 84",Mike Conley 23 Pts,Jae Crowder 15 Pts,20181022
6,Washington WSH,Portland POR,"WSH 125, POR 124 (OT)",Markieff Morris 28 Pts,Damian Lillard 29 Pts,20181022
7,Phoenix PHX,Golden State GS,"GS 123, PHX 103",Stephen Curry 29 Pts,Devin Booker 28 Pts,20181022
8,San Antonio SA,Los Angeles LAL,"SA 143, LAL 142 (OT)",LaMarcus Aldridge 37 Pts,Kyle Kuzma 37 Pts,20181022
0,Philadelphia PHI,Detroit DET,"DET 133, PHI 132 (OT)",Blake Griffin 50 Pts,Joel Embiid 33 Pts,20181023
1,LA LAC,New Orleans NO,"NO 116, LAC 109",Anthony Davis 34 Pts,Tobias Harris 26 Pts,20181023
2,Sacramento SAC,Denver DEN,"DEN 126, SAC 112",Jamal Murray 19 Pts,Marvin Bagley III 20 Pts,20181023
0,Dallas DAL,Atlanta ATL,"ATL 111, DAL 104",Kent Bazemore 32 Pts,Wesley Matthews 23 Pts,20181024
1,Brooklyn BKN,Cleveland CLE,"BKN 102, CLE 86",D'Angelo Russell 18 Pts,Kevin Love 14 Pts,20181024
2,New York NY,Miami MIA,"MIA 110, NY 87",Hassan Whiteside 22 Pts,Damyean Dotson 20 Pts,20181024
3,Minnesota MIN,Toronto TOR,"TOR 112, MIN 105",Kawhi Leonard 35 Pts,Jimmy Butler 23 Pts,20181024
4,Charlotte CHA,Chicago CHI,"CHI 112, CHA 110",Zach LaVine 32 Pts,Kemba Walker 23 Pts,20181024
5,Utah UTAH,Houston HOU,"UTAH 100, HOU 89",Donovan Mitchell 38 Pts,James Harden 29 Pts,20181024
6,Indiana IND,San Antonio SA,"IND 116, SA 96",Victor Oladipo 21 Pts,DeMar DeRozan 18 Pts,20181024
7,Philadelphia PHI,Milwaukee MIL,"MIL 123, PHI 108",Giannis Antetokounmpo 32 Pts,Joel Embiid 30 Pts,20181024
8,Los Angeles LAL,Phoenix PHX,"LAL 131, PHX 113",Lance Stephenson 23 Pts,Devin Booker 23 Pts,20181024
9,Memphis MEM,Sacramento SAC,"SAC 97, MEM 92",Buddy Hield 23 Pts,Mike Conley 27 Pts,20181024
10,Washington WSH,Golden State GS,"GS 144, WSH 122",Stephen Curry 51 Pts,Bradley Beal 23 Pts,20181024
0,Cleveland CLE,Detroit DET,"DET 110, CLE 103",Andre Drummond 26 Pts,Kyle Korver 21 Pts,20181025
1,Portland POR,Orlando ORL,"POR 128, ORL 114",Damian Lillard 41 Pts,Nikola Vucevic 24 Pts,20181025
2,Boston BOS,Oklahoma City OKC,"BOS 101, OKC 95",Jayson Tatum 24 Pts,Paul George 22 Pts,20181025
3,Denver DEN,Los Angeles LAL,"LAL 121, DEN 114",LeBron James 28 Pts,Nikola Jokic 24 Pts,20181025
0,Chicago CHI,Charlotte CHA,"CHA 135, CHI 106",Kemba Walker 30 Pts,Zach LaVine 20 Pts,20181026
1,Golden State GS,New York NY,"GS 128, NY 100",Kevin Durant 41 Pts,Tim Hardaway Jr. 24 Pts,20181026
2,Dallas DAL,Toronto TOR,"TOR 116, DAL 107",Kawhi Leonard 21 Pts,Luka Doncic 22 Pts,20181026
3,LA LAC,Houston HOU,"LAC 133, HOU 113",Montrezl Harrell 30 Pts,Carmelo Anthony 24 Pts,20181026
4,Milwaukee MIL,Minnesota MIN,"MIL 125, MIN 95",Khris Middleton 16 Pts,Karl-Anthony Towns 16 Pts,20181026
5,Brooklyn BKN,New Orleans NO,"NO 117, BKN 115",Jrue Holiday 26 Pts,D'Angelo Russell 24 Pts,20181026
6,Washington WSH,Sacramento SAC,"SAC 116, WSH 112",Nemanja Bjelica 26 Pts,John Wall 26 Pts,20181026
0,Boston BOS,Detroit DET,"BOS 109, DET 89",Jaylen Brown 19 Pts,Andre Drummond 18 Pts,20181027
1,Utah UTAH,New Orleans NO,"UTAH 132, NO 111",Ricky Rubio 28 Pts,Nikola Mirotic 25 Pts,20181027
2,Chicago CHI,Atlanta ATL,"CHI 97, ATL 85",Zach LaVine 27 Pts,Taurean Prince 16 Pts,20181027
3,Indiana IND,Cleveland CLE,"IND 119, CLE 107",Bojan Bogdanovic 25 Pts,Rodney Hood 17 Pts,20181027
4,Charlotte CHA,Philadelphia PHI,"PHI 105, CHA 103",Joel Embiid 27 Pts,Kemba Walker 37 Pts,20181027
5,Portland POR,Miami MIA,"MIA 120, POR 111",Goran Dragic 28 Pts,Damian Lillard 42 Pts,20181027
6,Phoenix PHX,Memphis MEM,"MEM 117, PHX 96",Marc Gasol 19 Pts,Deandre Ayton 24 Pts,20181027
7,Orlando ORL,Milwaukee MIL,"MIL 113, ORL 91",Giannis Antetokounmpo 21 Pts,Nikola Vucevic 16 Pts,20181027
8,Los Angeles LAL,San Antonio SA,"SA 110, LAL 106",DeMar DeRozan 30 Pts,LeBron James 35 Pts,20181027
0,Golden State GS,Brooklyn BKN,"GS 120, BKN 114",Stephen Curry 35 Pts,D'Angelo Russell 25 Pts,20181028
1,Utah UTAH,Dallas DAL,"UTAH 113, DAL 104",Rudy Gobert 23 Pts,Dennis Smith Jr. 27 Pts,20181028
2,Phoenix PHX,Oklahoma City OKC,"OKC 117, PHX 110",Russell Westbrook 23 Pts,T.J. Warren 18 Pts,20181028
3,Washington WSH,LA LAC,"LAC 136, WSH 104",Tobias Harris 22 Pts,Bradley Beal 20 Pts,20181028
0,Portland POR,Indiana IND,"POR 103, IND 93",CJ McCollum 17 Pts,Victor Oladipo 21 Pts,20181029
1,Atlanta ATL,Philadelphia PHI,"PHI 113, ATL 92",Ben Simmons 21 Pts,Kent Bazemore 18 Pts,20181029
2,Sacramento SAC,Miami MIA,"SAC 123, MIA 113",Willie Cauley-Stein 26 Pts,Josh Richardson 31 Pts,20181029
3,Brooklyn BKN,New York NY,"NY 115, BKN 96",Tim Hardaway Jr. 25 Pts,Spencer Dinwiddie 17 Pts,20181029
4,Golden State GS,Chicago CHI,"GS 149, CHI 124",Klay Thompson 52 Pts,Zach LaVine 21 Pts,20181029
5,Toronto TOR,Milwaukee MIL,"MIL 124, TOR 109",Ersan Ilyasova 19 Pts,Serge Ibaka 30 Pts,20181029
6,Los Angeles LAL,Minnesota MIN,"MIN 124, LAL 120",Jimmy Butler 32 Pts,LeBron James 29 Pts,20181029
7,Dallas DAL,San Antonio SA,"SA 113, DAL 108 (OT)",DeMar DeRozan 34 Pts,Luka Doncic 31 Pts,20181029
8,New Orleans NO,Denver DEN,"DEN 116, NO 111",Gary Harris 23 Pts,Julius Randle 24 Pts,20181029
0,Miami MIA,Charlotte CHA,"CHA 125, MIA 113",Tony Parker 24 Pts,Dwyane Wade 19 Pts,20181030
1,Atlanta ATL,Cleveland CLE,"CLE 136, ATL 114",Rodney Hood 26 Pts,Trae Young 24 Pts,20181030
2,Sacramento SAC,Orlando ORL,"SAC 107, ORL 99",Buddy Hield 25 Pts,Aaron Gordon 18 Pts,20181030
3,Detroit DET,Boston BOS,"BOS 108, DET 105",Kyrie Irving 31 Pts,Blake Griffin 24 Pts,20181030
4,Philadelphia PHI,Toronto TOR,"TOR 129, PHI 112",Kawhi Leonard 31 Pts,Joel Embiid 31 Pts,20181030
5,Portland POR,Houston HOU,"POR 104, HOU 85",Jusuf Nurkic 22 Pts,Chris Paul 17 Pts,20181030
6,Washington WSH,Memphis MEM,"MEM 107, WSH 95",Garrett Temple 20 Pts,John Wall 22 Pts,20181030
7,LA LAC,Oklahoma City OKC,"OKC 128, LAC 110",Paul George 32 Pts,Danilo Gallinari 27 Pts,20181030
0,Detroit DET,Brooklyn BKN,"BKN 120, DET 119 (OT)",Spencer Dinwiddie 25 Pts,Blake Griffin 25 Pts,20181031
1,Indiana IND,New York NY,"IND 107, NY 101",Domantas Sabonis 30 Pts,Tim Hardaway Jr. 37 Pts,20181031
2,Denver DEN,Chicago CHI,"DEN 108, CHI 107 (OT)",Nikola Jokic 22 Pts,Zach LaVine 28 Pts,20181031
3,Utah UTAH,Minnesota MIN,"MIN 128, UTAH 125",Derrick Rose 50 Pts,Donovan Mitchell 26 Pts,20181031
4,New Orleans NO,Golden State GS,"GS 131, NO 121",Stephen Curry 37 Pts,Jrue Holiday 28 Pts,20181031
5,Dallas DAL,Los Angeles LAL,"LAL 114, DAL 113",LeBron James 29 Pts,Wesley Matthews 21 Pts,20181031
6,San Antonio SA,Phoenix PHX,"SA 120, PHX 90",DeMar DeRozan 25 Pts,T.J. Warren 21 Pts,20181031
0,Oklahoma City OKC,Charlotte CHA,"OKC 111, CHA 107",Russell Westbrook 29 Pts,Kemba Walker 21 Pts,20181101
1,Denver DEN,Cleveland CLE,"DEN 110, CLE 91",Juan Hernangomez 23 Pts,Jordan Clarkson 17 Pts,20181101
2,LA LAC,Philadelphia PHI,"PHI 122, LAC 113",Joel Embiid 41 Pts,Lou Williams 26 Pts,20181101
3,Sacramento SAC,Atlanta ATL,"SAC 146, ATL 115",De'Aaron Fox 31 Pts,Jeremy Lin 23 Pts,20181101
4,Milwaukee MIL,Boston BOS,"BOS 117, MIL 113",Kyrie Irving 28 Pts,Giannis Antetokounmpo 33 Pts,20181101
5,New Orleans NO,Portland POR,"POR 132, NO 119",Damian Lillard 26 Pts,Julius Randle 29 Pts,20181101
0,LA LAC,Orlando ORL,"LAC 120, ORL 95",Lou Williams 28 Pts,Nikola Vucevic 22 Pts,20181102
1,Houston HOU,Brooklyn BKN,"HOU 119, BKN 111",Chris Paul 32 Pts,Caris LeVert 29 Pts,20181102
2,Oklahoma City OKC,Washington WSH,"OKC 134, WSH 111",Russell Westbrook 23 Pts,Bradley Beal 27 Pts,20181102
3,Indiana IND,Chicago CHI,"IND 107, CHI 105",Victor Oladipo 25 Pts,Antonio Blakeney 22 Pts,20181102
4,New York NY,Dallas DAL,"NY 118, DAL 106",Allonzo Trier 23 Pts,Dennis Smith Jr. 23 Pts,20181102
5,Memphis MEM,Utah UTAH,"MEM 110, UTAH 100",Mike Conley 28 Pts,Ricky Rubio 22 Pts,20181102
6,Toronto TOR,Phoenix PHX,"TOR 107, PHX 98",Kawhi Leonard 19 Pts,Isaiah Canaan 19 Pts,20181102
7,Minnesota MIN,Golden State GS,"GS 116, MIN 99",Kevin Durant 33 Pts,Andrew Wiggins 22 Pts,20181102
0,Detroit DET,Philadelphia PHI,"PHI 109, DET 99",Joel Embiid 39 Pts,Blake Griffin 38 Pts,20181103
1,Cleveland CLE,Charlotte CHA,"CHA 126, CLE 94",Jeremy Lamb 19 Pts,JR Smith 14 Pts,20181103
2,Boston BOS,Indiana IND,"IND 102, BOS 101",Victor Oladipo 24 Pts,Marcus Morris Sr. 23 Pts,20181103
3,Miami MIA,Atlanta ATL,"ATL 123, MIA 118",Trae Young 24 Pts,Josh Richardson 32 Pts,20181103
4,Houston HOU,Chicago CHI,"HOU 96, CHI 88",James Harden 25 Pts,Zach LaVine 21 Pts,20181103
5,New Orleans NO,San Antonio SA,"SA 109, NO 95",DeMar DeRozan 26 Pts,Jrue Holiday 29 Pts,20181103
6,Utah UTAH,Denver DEN,"DEN 103, UTAH 88",Gary Harris 20 Pts,Jae Crowder 21 Pts,20181103
7,Los Angeles LAL,Portland POR,"LAL 114, POR 110",LeBron James 28 Pts,CJ McCollum 30 Pts,20181103
0,Sacramento SAC,Milwaukee MIL,"MIL 144, SAC 109",Giannis Antetokounmpo 26 Pts,Justin Jackson 22 Pts,20181104
1,Philadelphia PHI,Brooklyn BKN,"BKN 122, PHI 97",Rondae Hollis-Jefferson 21 Pts,Ben Simmons 20 Pts,20181104
2,New York NY,Washington WSH,"WSH 108, NY 95",John Wall 26 Pts,Enes Kanter 18 Pts,20181104
3,Orlando ORL,San Antonio SA,"ORL 117, SA 110",Aaron Gordon 26 Pts,DeMar DeRozan 25 Pts,20181104
4,Memphis MEM,Phoenix PHX,"PHX 102, MEM 100",Devin Booker 25 Pts,Shelvin Mack 21 Pts,20181104
5,Minnesota MIN,Portland POR,"POR 111, MIN 81",Jusuf Nurkic 19 Pts,Karl-Anthony Towns 23 Pts,20181104
6,Toronto TOR,Los Angeles LAL,"TOR 121, LAL 107",Serge Ibaka 34 Pts,Kyle Kuzma 24 Pts,20181104
0,Miami MIA,Detroit DET,"MIA 120, DET 115 (OT)",Josh Richardson 27 Pts,Andre Drummond 25 Pts,20181105
1,Houston HOU,Indiana IND,"HOU 98, IND 94",James Harden 28 Pts,Victor Oladipo 28 Pts,20181105
2,Cleveland CLE,Orlando ORL,"ORL 102, CLE 100",Aaron Gordon 23 Pts,George Hill 22 Pts,20181105
3,Chicago CHI,New York NY,"CHI 116, NY 115 (2OT)",Zach LaVine 41 Pts,Enes Kanter 23 Pts,20181105
4,New Orleans NO,Oklahoma City OKC,"OKC 122, NO 116",Paul George 23 Pts,Julius Randle 26 Pts,20181105
5,Boston BOS,Denver DEN,"DEN 115, BOS 107",Jamal Murray 48 Pts,Kyrie Irving 31 Pts,20181105
6,Toronto TOR,Utah UTAH,"TOR 124, UTAH 111",Kyle Lowry 17 Pts,Alec Burks 22 Pts,20181105
7,Memphis MEM,Golden State GS,"GS 117, MEM 101",Klay Thompson 27 Pts,Dillon Brooks 18 Pts,20181105
8,Minnesota MIN,LA LAC,"LAC 120, MIN 109",Tobias Harris 22 Pts,Derrick Rose 21 Pts,20181105
0,Atlanta ATL,Charlotte CHA,"CHA 113, ATL 102",Kemba Walker 29 Pts,Jeremy Lin 19 Pts,20181106
1,Washington WSH,Dallas DAL,"DAL 119, WSH 100",Luka Doncic 23 Pts,John Wall 24 Pts,20181106
2,Brooklyn BKN,Phoenix PHX,"BKN 104, PHX 82",Caris LeVert 26 Pts,Devin Booker 20 Pts,20181106
3,Milwaukee MIL,Portland POR,"POR 118, MIL 103",CJ McCollum 40 Pts,Giannis Antetokounmpo 23 Pts,20181106
0,Oklahoma City OKC,Cleveland CLE,"OKC 95, CLE 86",Dennis Schroder 28 Pts,Collin Sexton 15 Pts,20181107
1,Detroit DET,Orlando ORL,"DET 103, ORL 96",Andre Drummond 23 Pts,Evan Fournier 27 Pts,20181107
2,New York NY,Atlanta ATL,"NY 112, ATL 107",Tim Hardaway Jr. 34 Pts,Omari Spellman 18 Pts,20181107
3,San Antonio SA,Miami MIA,"MIA 95, SA 88",Hassan Whiteside 29 Pts,Patty Mills 20 Pts,20181107
4,Philadelphia PHI,Indiana IND,"PHI 100, IND 94",Joel Embiid 20 Pts,Victor Oladipo 36 Pts,20181107
5,Denver DEN,Memphis MEM,"MEM 89, DEN 87",Marc Gasol 20 Pts,Gary Harris 20 Pts,20181107
6,Chicago CHI,New Orleans NO,"NO 107, CHI 98",Anthony Davis 32 Pts,Zach LaVine 22 Pts,20181107
